,0,1
44,Schroders," @Schroders_UK #procurementwithpurpose OR @Schroders_UK #activistinvestors OR @Schroders_UK #activistinvesting OR @Schroders_UK #shareholderactivism OR @Schroders_UK #socents OR @Schroders_UK #imapct OR @Schroders_UK #impinv OR @Schroders_UK #socimp OR @Schroders_UK #impactinvesting OR @Schroders_UK #socinn OR @Schroders_UK #socinv OR @Schroders_UK #socialenterprise OR @Schroders_UK #socialimpact OR @Schroders_UK #corpgov OR @Schroders_UK #greenwashing -""credit score"" lang:en -is:retweet"
45,Schroders," @Schroders_UK csr OR @Schroders_UK renewables OR @Schroders_UK sdgs OR @Schroders_UK green OR @Schroders_UK sustainable OR @Schroders_UK earthday OR @Schroders_UK ""renewable energy"" OR @Schroders_UK ""circular economy"" OR @Schroders_UK climate OR @Schroders_UK water OR @Schroders_UK recycling OR @Schroders_UK ""energy efficiency"" OR @Schroders_UK esg OR @Schroders_UK ""clean energy"" OR @Schroders_UK ""global goals"" OR @Schroders_UK eco OR @Schroders_UK ""climate action"" -""credit score"" lang:en -is:retweet"
46,Schroders," @Schroders_UK ""eco friendly"" OR @Schroders_UK ""plastic free"" OR @Schroders_UK nature OR @Schroders_UK ""sustainable development"" OR @Schroders_UK sustainability OR @Schroders_UK philanthropy OR @Schroders_UK ""social good"" OR @Schroders_UK ""zero hunger"" OR @Schroders_UK ""social impact"" OR @Schroders_UK ""replace plastic"" OR @Schroders_UK ""good governance"" OR @Schroders_UK ""procurement with purpose"" OR @Schroders_UK ""activist investors"" OR @Schroders_UK ""activist investing"" -""credit score"" lang:en -is:retweet"
47,Close Brothers,"@CloseBrothers #sustainability OR @CloseBrothers #environment OR @CloseBrothers #climatechange OR @CloseBrothers #csr OR @CloseBrothers #renewables OR @CloseBrothers #sdgs OR @CloseBrothers #green OR @CloseBrothers #sustainable OR @CloseBrothers #earthday OR @CloseBrothers #renewableenergy OR @CloseBrothers #circulareconomy OR @CloseBrothers #climate OR @CloseBrothers #water OR @CloseBrothers #recycling OR @CloseBrothers #energyefficiency OR @CloseBrothers #esg -""credit score"" lang:en -is:retweet"
48,Close Brothers," @CloseBrothers #cleanenergy OR @CloseBrothers #globalgoals OR @CloseBrothers #eco OR @CloseBrothers #climateaction OR @CloseBrothers #ecofriendly OR @CloseBrothers #plasticfree OR @CloseBrothers #nature OR @CloseBrothers sustainability OR @CloseBrothers impact OR @CloseBrothers ""sustainable development"" OR @CloseBrothers ""climate change"" OR @CloseBrothers ecosystem OR @CloseBrothers environment OR @CloseBrothers conservation OR @CloseBrothers ""climate finance"" -""credit score"" lang:en -is:retweet"
49,Close Brothers," @CloseBrothers adaptation OR @CloseBrothers mitigation OR @CloseBrothers ""carbon finance"" OR @CloseBrothers emission OR @CloseBrothers #sustainabledevelopmemt  OR @CloseBrothers #sustainability OR @CloseBrothers #philanthropy OR @CloseBrothers #socialgood OR @CloseBrothers #zerohunger OR @CloseBrothers #development OR @CloseBrothers #transformingcommerce OR @CloseBrothers #socialimpact OR @CloseBrothers #replaceplastic OR @CloseBrothers #goodgovernance -""credit score"" lang:en -is:retweet"
50,Close Brothers," @CloseBrothers #procurementwithpurpose OR @CloseBrothers #activistinvestors OR @CloseBrothers #activistinvesting OR @CloseBrothers #shareholderactivism OR @CloseBrothers #socents OR @CloseBrothers #imapct OR @CloseBrothers #impinv OR @CloseBrothers #socimp OR @CloseBrothers #impactinvesting OR @CloseBrothers #socinn OR @CloseBrothers #socinv OR @CloseBrothers #socialenterprise OR @CloseBrothers #socialimpact OR @CloseBrothers #corpgov OR @CloseBrothers #greenwashing -""credit score"" lang:en -is:retweet"
51,Close Brothers," @CloseBrothers csr OR @CloseBrothers renewables OR @CloseBrothers sdgs OR @CloseBrothers green OR @CloseBrothers sustainable OR @CloseBrothers earthday OR @CloseBrothers ""renewable energy"" OR @CloseBrothers ""circular economy"" OR @CloseBrothers climate OR @CloseBrothers water OR @CloseBrothers recycling OR @CloseBrothers ""energy efficiency"" OR @CloseBrothers esg OR @CloseBrothers ""clean energy"" OR @CloseBrothers ""global goals"" OR @CloseBrothers eco -""credit score"" lang:en -is:retweet"
52,Close Brothers," @CloseBrothers ""climate action"" OR @CloseBrothers ""eco friendly"" OR @CloseBrothers ""plastic free"" OR @CloseBrothers nature OR @CloseBrothers ""sustainable development"" OR @CloseBrothers sustainability OR @CloseBrothers philanthropy OR @CloseBrothers ""social good"" OR @CloseBrothers ""zero hunger"" OR @CloseBrothers ""social impact"" OR @CloseBrothers ""replace plastic"" OR @CloseBrothers ""good governance"" OR @CloseBrothers ""procurement with purpose"" -""credit score"" lang:en -is:retweet"
53,Coventry Building Society,"@CoventryBS #sustainability OR @CoventryBS #environment OR @CoventryBS #climatechange OR @CoventryBS #csr OR @CoventryBS #renewables OR @CoventryBS #sdgs OR @CoventryBS #green OR @CoventryBS #sustainable OR @CoventryBS #earthday OR @CoventryBS #renewableenergy OR @CoventryBS #circulareconomy OR @CoventryBS #climate OR @CoventryBS #water OR @CoventryBS #recycling OR @CoventryBS #energyefficiency OR @CoventryBS #esg OR @CoventryBS #cleanenergy OR @CoventryBS #globalgoals -""credit score"" lang:en -is:retweet"
54,Coventry Building Society," @CoventryBS #eco OR @CoventryBS #climateaction OR @CoventryBS #ecofriendly OR @CoventryBS #plasticfree OR @CoventryBS #nature OR @CoventryBS sustainability OR @CoventryBS impact OR @CoventryBS ""sustainable development"" OR @CoventryBS ""climate change"" OR @CoventryBS ecosystem OR @CoventryBS environment OR @CoventryBS conservation OR @CoventryBS ""climate finance"" OR @CoventryBS adaptation OR @CoventryBS mitigation OR @CoventryBS ""carbon finance"" OR @CoventryBS emission -""credit score"" lang:en -is:retweet"
55,Coventry Building Society," @CoventryBS #sustainabledevelopmemt  OR @CoventryBS #sustainability OR @CoventryBS #philanthropy OR @CoventryBS #socialgood OR @CoventryBS #zerohunger OR @CoventryBS #development OR @CoventryBS #transformingcommerce OR @CoventryBS #socialimpact OR @CoventryBS #replaceplastic OR @CoventryBS #goodgovernance OR @CoventryBS #procurementwithpurpose OR @CoventryBS #activistinvestors OR @CoventryBS #activistinvesting OR @CoventryBS #shareholderactivism OR @CoventryBS #socents -""credit score"" lang:en -is:retweet"
56,Coventry Building Society," @CoventryBS #imapct OR @CoventryBS #impinv OR @CoventryBS #socimp OR @CoventryBS #impactinvesting OR @CoventryBS #socinn OR @CoventryBS #socinv OR @CoventryBS #socialenterprise OR @CoventryBS #socialimpact OR @CoventryBS #corpgov OR @CoventryBS #greenwashing OR @CoventryBS csr OR @CoventryBS renewables OR @CoventryBS sdgs OR @CoventryBS green OR @CoventryBS sustainable OR @CoventryBS earthday OR @CoventryBS ""renewable energy"" OR @CoventryBS ""circular economy"" -""credit score"" lang:en -is:retweet"
57,Coventry Building Society," @CoventryBS climate OR @CoventryBS water OR @CoventryBS recycling OR @CoventryBS ""energy efficiency"" OR @CoventryBS esg OR @CoventryBS ""clean energy"" OR @CoventryBS ""global goals"" OR @CoventryBS eco OR @CoventryBS ""climate action"" OR @CoventryBS ""eco friendly"" OR @CoventryBS ""plastic free"" OR @CoventryBS nature OR @CoventryBS ""sustainable development"" OR @CoventryBS sustainability OR @CoventryBS philanthropy OR @CoventryBS ""social good"" OR @CoventryBS ""zero hunger"" -""credit score"" lang:en -is:retweet"
58,Coventry Building Society," @CoventryBS ""social impact"" OR @CoventryBS ""replace plastic"" OR @CoventryBS ""good governance"" OR @CoventryBS ""procurement with purpose"" OR @CoventryBS ""activist investors"" OR @CoventryBS ""activist investing"" OR @CoventryBS ""shareholder activism"" OR @CoventryBS socents OR @CoventryBS impinv OR @CoventryBS socimp OR @CoventryBS ""impact investing"" OR @CoventryBS socinn OR @CoventryBS socinv OR @CoventryBS ""social enterprise"" OR @CoventryBS ""social impact"" -""credit score"" lang:en -is:retweet"
