,0,1
10,Lloyds Banking Group," @LBGplc #plasticfree OR @LBGplc #nature OR @LBGplc sustainability OR @LBGplc impact OR @LBGplc ""sustainable development"" OR @LBGplc ""climate change"" OR @LBGplc ecosystem OR @LBGplc environment OR @LBGplc conservation OR @LBGplc ""climate finance"" OR @LBGplc adaptation OR @LBGplc mitigation OR @LBGplc ""carbon finance"" OR @LBGplc emission OR @LBGplc #sustainabledevelopmemt  OR @LBGplc #sustainability OR @LBGplc #philanthropy OR @LBGplc #socialgood OR @LBGplc #zerohunger -""credit score"" lang:en -is:retweet"
11,Lloyds Banking Group," @LBGplc #development OR @LBGplc #transformingcommerce OR @LBGplc #socialimpact OR @LBGplc #replaceplastic OR @LBGplc #goodgovernance OR @LBGplc #procurementwithpurpose OR @LBGplc #activistinvestors OR @LBGplc #activistinvesting OR @LBGplc #shareholderactivism OR @LBGplc #socents OR @LBGplc #imapct OR @LBGplc #impinv OR @LBGplc #socimp OR @LBGplc #impactinvesting OR @LBGplc #socinn OR @LBGplc #socinv OR @LBGplc #socialenterprise OR @LBGplc #socialimpact -""credit score"" lang:en -is:retweet"
12,Lloyds Banking Group," @LBGplc #corpgov OR @LBGplc #greenwashing OR @LBGplc csr OR @LBGplc renewables OR @LBGplc sdgs OR @LBGplc green OR @LBGplc sustainable OR @LBGplc earthday OR @LBGplc ""renewable energy"" OR @LBGplc ""circular economy"" OR @LBGplc climate OR @LBGplc water OR @LBGplc recycling OR @LBGplc ""energy efficiency"" OR @LBGplc esg OR @LBGplc ""clean energy"" OR @LBGplc ""global goals"" OR @LBGplc eco OR @LBGplc ""climate action"" OR @LBGplc ""eco friendly"" OR @LBGplc ""plastic free"" -""credit score"" lang:en -is:retweet"
13,Lloyds Banking Group," @LBGplc nature OR @LBGplc ""sustainable development"" OR @LBGplc sustainability OR @LBGplc philanthropy OR @LBGplc ""social good"" OR @LBGplc ""zero hunger"" OR @LBGplc ""social impact"" OR @LBGplc ""replace plastic"" OR @LBGplc ""good governance"" OR @LBGplc ""procurement with purpose"" OR @LBGplc ""activist investors"" OR @LBGplc ""activist investing"" OR @LBGplc ""shareholder activism"" OR @LBGplc socents OR @LBGplc impinv OR @LBGplc socimp OR @LBGplc ""impact investing"" -""credit score"" lang:en -is:retweet"
14,Royal Bank of Scotland Group,"@RBS_Help #sustainability OR @RBS_Help #environment OR @RBS_Help #climatechange OR @RBS_Help #csr OR @RBS_Help #renewables OR @RBS_Help #sdgs OR @RBS_Help #green OR @RBS_Help #sustainable OR @RBS_Help #earthday OR @RBS_Help #renewableenergy OR @RBS_Help #circulareconomy OR @RBS_Help #climate OR @RBS_Help #water OR @RBS_Help #recycling OR @RBS_Help #energyefficiency OR @RBS_Help #esg OR @RBS_Help #cleanenergy OR @RBS_Help #globalgoals OR @RBS_Help #eco -""credit score"" lang:en -is:retweet"
15,Royal Bank of Scotland Group," @RBS_Help #climateaction OR @RBS_Help #ecofriendly OR @RBS_Help #plasticfree OR @RBS_Help #nature OR @RBS_Help sustainability OR @RBS_Help impact OR @RBS_Help ""sustainable development"" OR @RBS_Help ""climate change"" OR @RBS_Help ecosystem OR @RBS_Help environment OR @RBS_Help conservation OR @RBS_Help ""climate finance"" OR @RBS_Help adaptation OR @RBS_Help mitigation OR @RBS_Help ""carbon finance"" OR @RBS_Help emission OR @RBS_Help #sustainabledevelopmemt  -""credit score"" lang:en -is:retweet"
16,Royal Bank of Scotland Group," @RBS_Help #sustainability OR @RBS_Help #philanthropy OR @RBS_Help #socialgood OR @RBS_Help #zerohunger OR @RBS_Help #development OR @RBS_Help #transformingcommerce OR @RBS_Help #socialimpact OR @RBS_Help #replaceplastic OR @RBS_Help #goodgovernance OR @RBS_Help #procurementwithpurpose OR @RBS_Help #activistinvestors OR @RBS_Help #activistinvesting OR @RBS_Help #shareholderactivism OR @RBS_Help #socents OR @RBS_Help #imapct OR @RBS_Help #impinv OR @RBS_Help #socimp -""credit score"" lang:en -is:retweet"
17,Royal Bank of Scotland Group," @RBS_Help #impactinvesting OR @RBS_Help #socinn OR @RBS_Help #socinv OR @RBS_Help #socialenterprise OR @RBS_Help #socialimpact OR @RBS_Help #corpgov OR @RBS_Help #greenwashing OR @RBS_Help csr OR @RBS_Help renewables OR @RBS_Help sdgs OR @RBS_Help green OR @RBS_Help sustainable OR @RBS_Help earthday OR @RBS_Help ""renewable energy"" OR @RBS_Help ""circular economy"" OR @RBS_Help climate OR @RBS_Help water OR @RBS_Help recycling OR @RBS_Help ""energy efficiency"" -""credit score"" lang:en -is:retweet"
18,Royal Bank of Scotland Group," @RBS_Help esg OR @RBS_Help ""clean energy"" OR @RBS_Help ""global goals"" OR @RBS_Help eco OR @RBS_Help ""climate action"" OR @RBS_Help ""eco friendly"" OR @RBS_Help ""plastic free"" OR @RBS_Help nature OR @RBS_Help ""sustainable development"" OR @RBS_Help sustainability OR @RBS_Help philanthropy OR @RBS_Help ""social good"" OR @RBS_Help ""zero hunger"" OR @RBS_Help ""social impact"" OR @RBS_Help ""replace plastic"" OR @RBS_Help ""good governance"" OR @RBS_Help ""procurement with purpose"" -""credit score"" lang:en -is:retweet"
19,Barclays,"@Barclays #sustainability OR @Barclays #environment OR @Barclays #climatechange OR @Barclays #csr OR @Barclays #renewables OR @Barclays #sdgs OR @Barclays #green OR @Barclays #sustainable OR @Barclays #earthday OR @Barclays #renewableenergy OR @Barclays #circulareconomy OR @Barclays #climate OR @Barclays #water OR @Barclays #recycling OR @Barclays #energyefficiency OR @Barclays #esg OR @Barclays #cleanenergy OR @Barclays #globalgoals OR @Barclays #eco -""credit score"" lang:en -is:retweet"
20,Barclays," @Barclays #climateaction OR @Barclays #ecofriendly OR @Barclays #plasticfree OR @Barclays #nature OR @Barclays sustainability OR @Barclays impact OR @Barclays ""sustainable development"" OR @Barclays ""climate change"" OR @Barclays ecosystem OR @Barclays environment OR @Barclays conservation OR @Barclays ""climate finance"" OR @Barclays adaptation OR @Barclays mitigation OR @Barclays ""carbon finance"" OR @Barclays emission OR @Barclays #sustainabledevelopmemt  -""credit score"" lang:en -is:retweet"
21,Barclays," @Barclays #sustainability OR @Barclays #philanthropy OR @Barclays #socialgood OR @Barclays #zerohunger OR @Barclays #development OR @Barclays #transformingcommerce OR @Barclays #socialimpact OR @Barclays #replaceplastic OR @Barclays #goodgovernance OR @Barclays #procurementwithpurpose OR @Barclays #activistinvestors OR @Barclays #activistinvesting OR @Barclays #shareholderactivism OR @Barclays #socents OR @Barclays #imapct OR @Barclays #impinv OR @Barclays #socimp -""credit score"" lang:en -is:retweet"
22,Barclays," @Barclays #impactinvesting OR @Barclays #socinn OR @Barclays #socinv OR @Barclays #socialenterprise OR @Barclays #socialimpact OR @Barclays #corpgov OR @Barclays #greenwashing OR @Barclays csr OR @Barclays renewables OR @Barclays sdgs OR @Barclays green OR @Barclays sustainable OR @Barclays earthday OR @Barclays ""renewable energy"" OR @Barclays ""circular economy"" OR @Barclays climate OR @Barclays water OR @Barclays recycling OR @Barclays ""energy efficiency"" -""credit score"" lang:en -is:retweet"
