,id,created_at,text,company
29,1475800271779414018,2021-12-28 12:06:18+00:00,"Then we published our inaugural scorecard evaluating top EU &amp; US asset managers’ climate policies, this time examining their coal commitments.   @CreditSuisse &amp; @HSBC AM are still the #1 laggards today.. https://t.co/WUP7gPoL4W",HSBC
30,1475270564126150658,2021-12-27 01:01:26+00:00,@XRebellionUK @HSBC @sciencemuseum https://t.co/jFkGbDuSNb,HSBC
31,1475238081338896384,2021-12-26 22:52:21+00:00,RT @hk_watch: Our Policy Director @Johnny_HKWatch says @HSBC's role advising SenseTime - which is accused of complicity with grave human ri…,HSBC
32,1474562990015868935,2021-12-25 02:09:47+00:00,RT @HSBC: 81% of companies surveyed plan to invest in ESG to boost growth this coming year. Do you think going green will increase your bus…,HSBC
33,1474341252363546624,2021-12-24 11:28:41+00:00,"RT @HSBC: Find out why leading businesses are looking to internationalisation, prioritising sustainability and supply chain investment to b…",HSBC
34,1476490998184357890,2021-12-30 09:51:00+00:00,"RT @LBGplc: This year we've been #HelpingBritainRecover   💼We've been by the side of businesses as they recover, adapt and grow  🌎We contin…",Lloyds Banking Group
35,1476487425912410118,2021-12-30 09:36:48+00:00,RT @LBGAmbSthWest: It’s not a choice between values or value – strong performance against #ESG indicators makes business sense! But how can…,Lloyds Banking Group
36,1476158791896997888,2021-12-29 11:50:56+00:00,RT @LBGAmbLondon: How we approach the redevelopment of residential property will be one of the major challenges of this decade. I'm proud t…,Lloyds Banking Group
37,1476147483550040068,2021-12-29 11:06:00+00:00,It’s not a choice between values or value – strong performance against #ESG indicators makes business sense! But how can companies begin integrating social &amp; sustainable principles in their operations? This might help. @LBGplc https://t.co/1YKA38z44y,Lloyds Banking Group
38,1476137573735178247,2021-12-29 10:26:37+00:00,"How we approach the redevelopment of residential property will be one of the major challenges of this decade. I'm proud that @LBGplc is not only commissioning research into #GreenHomes, but also offering incentives to personal &amp; commercial homeowners too:  https://t.co/rs8PG2NEbd",Lloyds Banking Group
39,1476117826062761991,2021-12-29 09:08:09+00:00,"RT @LBGplc: This year has seen a huge spike in the registration of Electric Vehicles🔋  Between January and November 2021, car registrations…",Lloyds Banking Group
40,1474379836202393602,2021-12-24 14:02:00+00:00,"It's been much quieter  on the corporate volunteering side this year due to Covid. However, big thank you to Chris and Lee from @LBGplc  and Neil who came and spent the morning sorting donations with volunteer Paul. Great work #csr #community #volunteer https://t.co/OdRb10xBPg",Lloyds Banking Group
